_id,Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Suppressed
647f327c1dce3c155c92f58d,BDCQ.SEA1AA,2018.09,86929,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f58e,BDCQ.SEA1AA,2018.12,100290,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f58f,BDCQ.SEA1AA,2019.03,102031,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f590,BDCQ.SEA1AA,2019.06,90836,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f591,BDCQ.SEA1AA,2019.09,88032,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f592,BDCQ.SEA1AA,2019.12,100531,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f593,BDCQ.SEA1AA,2020.03,100947,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f594,BDCQ.SEA1AA,2020.06,93239,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f595,BDCQ.SEA1AA,2020.09,93195,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f596,BDCQ.SEA1AA,2020.12,102683,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f597,BDCQ.SEA1AA,2021.03,101342,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f598,BDCQ.SEA1AA,2021.06,92962,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f599,BDCQ.SEA1AA,2021.09,91635,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f59a,BDCQ.SEA1AA,2021.12,102423,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f59b,BDCQ.SEA1AA,2022.03,100285,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f59c,BDCQ.SEA1AA,2022.06,94075,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f59d,BDCQ.SEA1AA,2022.09,90838,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Actual,
647f327c1dce3c155c92f59e,BDCQ.SEA1AS,2011.06,83971,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f59f,BDCQ.SEA1AS,2011.09,84195,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a0,BDCQ.SEA1AS,2011.12,82509,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a1,BDCQ.SEA1AS,2012.03,84365,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a2,BDCQ.SEA1AS,2012.06,85735,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a3,BDCQ.SEA1AS,2012.09,85262,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a4,BDCQ.SEA1AS,2012.12,84318,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a5,BDCQ.SEA1AS,2013.03,85165,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a6,BDCQ.SEA1AS,2013.06,85602,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a7,BDCQ.SEA1AS,2013.09,87734,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a8,BDCQ.SEA1AS,2013.12,90124,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5a9,BDCQ.SEA1AS,2014.03,90482,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5aa,BDCQ.SEA1AS,2014.06,89904,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5ab,BDCQ.SEA1AS,2014.09,91095,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5ac,BDCQ.SEA1AS,2014.12,91047,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5ad,BDCQ.SEA1AS,2015.03,91526,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5ae,BDCQ.SEA1AS,2015.06,91997,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5af,BDCQ.SEA1AS,2015.09,91322,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b0,BDCQ.SEA1AS,2015.12,92595,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b1,BDCQ.SEA1AS,2016.03,92684,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
647f327c1dce3c155c92f5b2,BDCQ.SEA1AS,2016.06,92635,R,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,"Agriculture, Forestry and Fishing",Seasonally adjusted,
